canonical_composer,canonical_title
Alban Berg,Sonata Op. 1
Alexander Scriabin,"24 Preludes Op. 11, No. 13-24"
Alexander Scriabin,"3 Etudes, Op. 65"
Alexander Scriabin,"5 Preludes, Op.15"
Alexander Scriabin,"Entragete, Op.63"
Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12"
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5"
Alexander Scriabin,"Etude Op. 8, No. 13"
Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10"
Alexander Scriabin,Etudes from Op.8
Alexander Scriabin,Fantasy Op. 28 in B Minor
Alexander Scriabin,"Fantasy in B Minor, Op. 28"
Alexander Scriabin,"Fantasy, Op. 28"
Alexander Scriabin,"Fragilite, Op.51"
Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9"
Alexander Scriabin,Sonata No. 2
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19"
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)"
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23"
Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30"
Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53"
Alexander Scriabin,"Sonata No. 5, Op. 53"
Alexander Scriabin,Sonata No. 9
Alexander Scriabin,"Sonata No. 9, Op. 68"
Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass"""
Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)"
Alexander Scriabin,"Waltz, Op. 38"
Anton Arensky,"Piano Trio in D Minor, Op. 32"
Antonio Soler,Sonata No. 10 in B Minor
Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements"
Charles Gounod / Franz Liszt,Faust Waltz
Claude Debussy,"""Feux d'artifice"" from Book II"
Claude Debussy,"""Images"", Series I"
Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I"
Claude Debussy,"""Ondine"" from Book II"
Claude Debussy,"""Voiles"" from Preludes, Book I"
Claude Debussy,"Barcarolle, Op. 60"
Claude Debussy,Bruyeres
Claude Debussy,Estampes (Complete)
Claude Debussy,"Etude ""Pour le arpeges composes"""
Claude Debussy,"Etude ""Pour les accords"""
Claude Debussy,"Etude ""Pour les huit doigts"""
Claude Debussy,"Etude No. 6, Book I, ""Pour les huits doigts"""
Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps"""
Claude Debussy,Feux d'artifice
Claude Debussy,Four Preludes
Claude Debussy,Image (Book II)
Claude Debussy,"Images Book 1 (Complete), L 110"
Claude Debussy,Images Book II
Claude Debussy,"Images, Book I"
Claude Debussy,"Images, Book I, ""Reflets dans l'eau"""
Claude Debussy,"Images, Book II, ""Poissons d'or"""
Claude Debussy,Jardins sous la pluie from Estampes
Claude Debussy,L'Isle Joyeuse
Claude Debussy,"L'isle joyeuse, L. 106"
Claude Debussy,Les Collines d'Anacapri from Book I
Claude Debussy,Pagodas from Estampes No. 1
Claude Debussy,Pour le piano (Complete)
Claude Debussy,"Prelude No. 24 ""Fireworks"""
Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige"""
Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune"
Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12"
Claude Debussy,"Preludes No. 2, 6, 12"
Claude Debussy,"Preludes, Book II, III - La puerta del vino"
Claude Debussy,"Preludes, Book II, L 123 (Complete)"
Claude Debussy,"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»"
Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune"
Claude Debussy,PreludesBII/7-12
Claude Debussy,SuiteBergamasque
Claude Debussy,Three Etudes
César Franck,Prel./Chor./Fug.
César Franck,"Prelude, Choral et Fugue"
César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne"
César Franck,"Prélude, chorale, et fugue, M. 21"
Domenico Scarlatti,Sonata K. 466
Domenico Scarlatti,Sonata K. 525
Domenico Scarlatti,Sonata K. 54
Domenico Scarlatti,"Sonata in A Major, K. 208"
Domenico Scarlatti,"Sonata in B Minor, K. 197"
Domenico Scarlatti,"Sonata in B Minor, K. 27"
Domenico Scarlatti,"Sonata in B Minor, K. 87"
Domenico Scarlatti,"Sonata in B Minor, L. 33"
Domenico Scarlatti,"Sonata in C Major, K. 132"
Domenico Scarlatti,"Sonata in C Major, K. 179"
Domenico Scarlatti,"Sonata in C Major, K. 513"
Domenico Scarlatti,"Sonata in C Minor, K. 84"
Domenico Scarlatti,"Sonata in D Major, K. 118"
Domenico Scarlatti,"Sonata in D Major, K. 119"
Domenico Scarlatti,"Sonata in D Major, K. 145"
Domenico Scarlatti,"Sonata in D Major, K. 430"
Domenico Scarlatti,"Sonata in D Major, K. 576"
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465"
Domenico Scarlatti,"Sonata in D Major, K96"
Domenico Scarlatti,"Sonata in D Minor, K. 1"
Domenico Scarlatti,"Sonata in D Minor, K. 141"
Domenico Scarlatti,"Sonata in D Minor, K. 213"
Domenico Scarlatti,"Sonata in D Minor, K. 9"
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413"
Domenico Scarlatti,"Sonata in F Minor, K. 466"
Domenico Scarlatti,"Sonata in G Major, K. 146"
Domenico Scarlatti,"Sonata in G Major, K. 455"
Domenico Scarlatti,"Sonata, K239"
Domenico Scarlatti,Two Sonatas
Edvard Grieg,"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2"
Edvard Grieg,"Lyric Piece in E Minor, “Valse-Impromptu,” Op. 47 No.1"
Edvard Grieg,"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7"
Felix Mendelssohn,Etude in A Minor
Felix Mendelssohn,"Fantasy in F-sharp Minor, Op. 28 (Complete)"
Felix Mendelssohn,"Piano Trio No. 1 in D Major, Op. 49"
Felix Mendelssohn,"Rondo Capriccioso in E Minor, Op. 14"
Felix Mendelssohn,Variations Serieuses Op. 54
Felix Mendelssohn,"Variations Seriouses, Op. 54"
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo from A Midsummer Night's Dream
Felix Mendelssohn / Sergei Rachmaninoff,"Scherzo from Mendelssohn's ""Midsummer Night's Dream"""
Franz Liszt,"""La Campanella"""
Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este
Franz Liszt,"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7"
Franz Liszt,Au bord d'une source
Franz Liszt,"Ballade No. 2 in B Minor, S 171"
Franz Liszt,"Concert Etude ""Gnomenreigen"""
Franz Liszt,"Concert Etude ""La Leggierezza"""
Franz Liszt,"Concert Etude ""Un Sospiro"""
Franz Liszt,"Concert Etude ""Waldesrauschen"""
Franz Liszt,"Concert Etude No. 2 ""Gnomenreigen"""
Franz Liszt,"Concert Etude No. 2 La Leggierezza, S. 144"
Franz Liszt,"Concert Etude No. 2, ""Gnomenreigen"", S. 145/2"
Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2"
Franz Liszt,"Concert Etude No. 2, “La leggierezza"", S. 144"
Franz Liszt,"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3"
Franz Liszt,Dante Sonata
Franz Liszt,Funerailles
Franz Liszt,"Grandes Etudes de Paganini, S. 141"
Franz Liszt,"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141"
Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3"
Franz Liszt,Hungarian Rhapsody
Franz Liszt,"Hungarian Rhapsody No. 10 in E-flat Major, S. 244/10"
Franz Liszt,"Hungarian Rhapsody No. 10, S. 244/10"
Franz Liszt,"Hungarian Rhapsody No. 12, S. 244/12"
Franz Liszt,Hungarian Rhapsody No. 13 (arr. Volodos)
Franz Liszt,"Hungarian Rhapsody No. 13, S. 244/13"
Franz Liszt,Hungarian Rhapsody No. 15 in A Minor
Franz Liszt,"Hungarian Rhapsody No. 2 in C-sharp Minor, S. 244/2"
Franz Liszt,"Hungarian Rhapsody No. 6, S.244/6"
Franz Liszt,Hungarian Rhapsody No. 9
Franz Liszt,"Hungarian Rhapsody No. 9 in E-flat Major, S. 244"
Franz Liszt,"Hungarian Rhapsody, No. 12"
Franz Liszt,Mephisto Waltz
Franz Liszt,Mephisto Waltz No. 1
Franz Liszt,"Mephisto Waltz No. 1, S.514"
Franz Liszt,"Paganini Etude No. 3, S. 141/3 ""La Campanella"""
Franz Liszt,"Paraphrase de concert sur Rigoletto, S.434"
Franz Liszt,Polonaise in E Major
Franz Liszt,Rem. of Don Juan
Franz Liszt,Rhapsodie Espagnole
Franz Liszt,Rhapsodie Espagnole S.254
Franz Liszt,Rhapsody Esp.
Franz Liszt,Rigoletto Paraphrase
Franz Liszt,"Rigoletto Paraphrase, S. 434"
Franz Liszt,"Réminiscences de Don Juan, S.418"
Franz Liszt,"Sonata In B Minor, S. 178"
Franz Liszt,Sonata in B Min.
Franz Liszt,Sonetto 104 del Petrarca
Franz Liszt,Sonetto 123 del Petrarca
Franz Liszt,Spanish Rhapsody
Franz Liszt,Tarantella
Franz Liszt,Tarantella from Annees de Pelerinage 2eme Annee
Franz Liszt,"Tarantella, S. 162 No. 3 from Venezia e Napoli"
Franz Liszt,"Tarantella, Venezia e Napoli in G Minor, S.159"
Franz Liszt,"Tarantelle di Bravura, S. 386"
Franz Liszt,"Transcendental Etude No. 1 ""Prelude"""
Franz Liszt,"Transcendental Etude No. 1, “Preludio"""
Franz Liszt,Transcendental Etude No. 10 in F Minor
Franz Liszt,"Transcendental Etude No. 10 in F Minor ""Appassionata"""
Franz Liszt,"Transcendental Etude No. 10 in F Minor, S. 139/10"
Franz Liszt,"Transcendental Etude No. 11 ""Harmonies du Soir"""
Franz Liszt,"Transcendental Etude No. 12 ""Chasse-neige"""
Franz Liszt,"Transcendental Etude No. 2, “Molto vivace"""
Franz Liszt,"Transcendental Etude No. 3 ""Paysage"""
Franz Liszt,"Transcendental Etude No. 4 ""Mazeppa"""
Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets"""
Franz Liszt,"Transcendental Etude No. 5 “Feux Follets,” S.139, No. 5"
Franz Liszt,"Transcendental Etude No. 5, ""Feux Follets"", S. 139/5"
Franz Liszt,"Transcendental Etude No. 8 ""Wilde Jagd"""
Franz Liszt,"Transcendental Etude No. 8, ""Wilde Jagd"", S. 139/8"
Franz Liszt,"Transcendental Etude No. 9, 'Ricordanza'"
Franz Liszt,"Tristan and Isolde - Liebestod, S.447"
Franz Liszt,"Trois Etudes de Concert ""La leggierezza"", S.144"
Franz Liszt,"Valse de l'opera Faust de Charles Gounod, S.407"
Franz Liszt,"Valse-Impromptu, S. 213"
Franz Liszt,Venezia e Napoli
Franz Liszt,"Venezia e Napoli, S. 162"
Franz Liszt,"Venezia e Napoli, S.162 (Complete)"
Franz Liszt,"Études d'exécution transcendante, No. 10 in F Minor, S.139/10"
Franz Liszt,"Études d'exécution transcendante, No. 12, ""Chasse-Neige"" S.139/12"
Franz Liszt,"Études d'exécution transcendante, No. 4, ""Mazeppa"" S.139/4"
Franz Liszt,"Études d'exécution transcendante, No. 5, ""Feux follets"" S.139/5"
Franz Liszt / Camille Saint-Saëns,Danse Macabre S555/R240
Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 15 (Horowitz edition)
Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 2 (Horowitz Edition)
Franz Schubert,"""Der Mueller und der Bach"""
Franz Schubert,"""Erlkoenig"""
Franz Schubert,"""Gretchen am Spinnrade"""
Franz Schubert,"Fantasia in C Major, ""Wanderer"", D. 760"
Franz Schubert,Impromptu Op. 142 No. 1 F Minor
Franz Schubert,Impromptu Op. 142 No. 1 in F Minor
Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D. 935"
Franz Schubert,"Impromptu Op. 142 No. 1 in F Minor, D935"
Franz Schubert,"Impromptu Op. 142 No. 3 in B-Flat Major, D935"
Franz Schubert,Impromptu Op. 142 No. 3 in B-flat Major
Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D. 935"
Franz Schubert,"Impromptu Op. 142 No. 4 in F Minor, D. 935"
Franz Schubert,"Impromptu Op. 142 No. 4, in F Minor, D935"
Franz Schubert,Impromptu Op. 90 No. 1
Franz Schubert,Impromptu Op. 90 No. 1 in C Minor
Franz Schubert,"Impromptu Op. 90 No. 1 in C Minor, D. 899"
Franz Schubert,"Impromptu Op. 90 No. 1, in C Minor, D899"
Franz Schubert,Impromptu Op. 90 No. 2
Franz Schubert,Impromptu Op. 90 No. 2 E-flat Major
Franz Schubert,Impromptu Op. 90 No. 2 in E-flat Major
Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D. 899"
Franz Schubert,"Impromptu Op. 90 No. 2 in E-flat Major, D899"
Franz Schubert,Impromptu Op. 90 No. 3 in G-flat
Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major
Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D. 899"
Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D899"
Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major
Franz Schubert,Impromptus Op. 90
Franz Schubert,"Impromptus Op. 90, No. 3"
Franz Schubert,Moment Musical Op. 94 No. 1 in C Major
Franz Schubert,"Moment Musical Op. 94 No. 4 in C-sharp Minor, D780"
Franz Schubert,"Moment Musicaux in F Minor, Op. 94 No. 3"
Franz Schubert,Son. in Bb D.960
Franz Schubert,Son. in Bb D.961
Franz Schubert,Son. in Bb D.962
Franz Schubert,Sonata in A D959
Franz Schubert,Sonata in A D960
Franz Schubert,Sonata in A D961
Franz Schubert,Sonata in A D962
Franz Schubert,"Sonata in A Major, D. 664 (Complete)"
Franz Schubert,"Sonata in A Major, D. 664, I. Allegro moderato"
Franz Schubert,"Sonata in A Major, D. 959 (Complete)"
Franz Schubert,"Sonata in A Major, D959"
Franz Schubert,"Sonata in A Major, Op. 120, I. Allegro moderato"
Franz Schubert,Sonata in A Min.
Franz Schubert,"Sonata in A Minor, D. 537, I. Allegro ma non troppo"
Franz Schubert,"Sonata in A Minor, D. 845"
Franz Schubert,"Sonata in A Minor, D. 846"
Franz Schubert,"Sonata in A Minor, D. 847"
Franz Schubert,"Sonata in A Minor, D. 848"
Franz Schubert,"Sonata in A Minor, D784"
Franz Schubert,"Sonata in A Minor, D845"
Franz Schubert,"Sonata in A minor, D. 845 (Complete)"
Franz Schubert,Sonata in B-flat Major D. 960
Franz Schubert,Sonata in B-flat Major D. 961
Franz Schubert,Sonata in B-flat Major D. 962
Franz Schubert,Sonata in B-flat Major D. 963
Franz Schubert,"Sonata in B-flat Major, D. 960 (Complete)"
Franz Schubert,"Sonata in B-flat Major, D960"
Franz Schubert,"Sonata in C  Minor, D. 958"
Franz Schubert,"Sonata in C  Minor, D. 959"
Franz Schubert,"Sonata in C  Minor, D. 960"
Franz Schubert,"Sonata in C  Minor, D. 961"
Franz Schubert,"Sonata in C Major, D840"
Franz Schubert,"Sonata in C Major, D841"
Franz Schubert,"Sonata in C Major, D842"
Franz Schubert,"Sonata in C Major, D843"
Franz Schubert,"Sonata in C Minor, D. 958 (Complete)"
Franz Schubert,"Sonata in C Minor, D958"
Franz Schubert,"Sonata in C major, D. 840 (Complete)"
Franz Schubert,"Sonata in D Major, D. 850 (Complete)"
Franz Schubert,"Sonata in D Major, D850"
Franz Schubert,Sonata in G Major D894
Franz Schubert,"Sonata in G Major, D 894"
Franz Schubert,"Sonata in G Major, D. 895"
Franz Schubert,"Sonata in G Major, D. 896"
Franz Schubert,"Sonata in G Major, D. 897"
Franz Schubert,Valse-Caprice No. 6 from Soirees de Vienne
Franz Schubert,Wanderer Fantasy
Franz Schubert / Franz Liszt,Der Mueller und der Bach
Franz Schubert / Franz Liszt,Die Forelle
Franz Schubert / Franz Liszt,"Fruelingsglaube, Die Junge Nonne"
Franz Schubert / Franz Liszt,Gretchen am Spinnrade
Franz Schubert / Franz Liszt,"Song Transcriptions: Aufenthalt, Gretchen am Spinnrade, Standchen von Shakespeare, Der Erlkonig"
Franz Schubert / Franz Liszt,"Staendchen from Schwannengesang, R245/7"
Franz Schubert / Franz Liszt,"Standchen, S. 558, NO. 9, ""Horch, horch! Die Lerch"""
Franz Schubert / Leopold Godowsky,Moment Musical Op. 94 No. 3 in F-sharp Minor
Fritz Kreisler / Sergei Rachmaninoff,Liebesfreud
Frédéric Chopin,"12 Etudes, Op. 25"
Frédéric Chopin,"24 Preludes, Op. 28"
Frédéric Chopin,"Andante Spianato and Grand Polonaise Brilliante, Op. 22"
Frédéric Chopin,"Andante Spianato and Grande Polonaise Brillante, Op. 22"
Frédéric Chopin,"Andante Spianato et Grande Polonaise Brillante, Op. 22"
Frédéric Chopin,"Andante spianato e grande polonaise, Op. 22"
Frédéric Chopin,Ballade 4 Op. 52
Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23"
Frédéric Chopin,Ballade No. 2 in F Major
Frédéric Chopin,"Ballade No. 2 in F Major, Op. 38"
Frédéric Chopin,"Ballade No. 3 in A-flat Major, Op. 47"
Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52"
Frédéric Chopin,Barcarolle in F#
Frédéric Chopin,"Barcarolle in F-sharp Major, Op. 60"
Frédéric Chopin,Berceuse Op. 57
Frédéric Chopin,Berceuse Op. 57 in D-flat Major
Frédéric Chopin,"Berceuse in D-Flat Major, Op. 57"
Frédéric Chopin,"Complete Etudes, Opus 25"
Frédéric Chopin,Etude Op. 10 No. 1
Frédéric Chopin,Etude Op. 10 No. 1 in C Major
Frédéric Chopin,Etude Op. 10 No. 10 in A-flat Major
Frédéric Chopin,Etude Op. 10 No. 12
Frédéric Chopin,Etude Op. 10 No. 12 in C Minor
Frédéric Chopin,Etude Op. 10 No. 2
Frédéric Chopin,Etude Op. 10 No. 2 in A Minor
Frédéric Chopin,Etude Op. 10 No. 4
Frédéric Chopin,Etude Op. 10 No. 4 in C-Sharp Minor
Frédéric Chopin,Etude Op. 10 No. 5 in G-flat Major
Frédéric Chopin,Etude Op. 10 No. 8
Frédéric Chopin,Etude Op. 10 No. 8 in F Major
Frédéric Chopin,Etude Op. 25 No. 1
Frédéric Chopin,Etude Op. 25 No. 1 in A-flat Major
Frédéric Chopin,Etude Op. 25 No. 10
Frédéric Chopin,Etude Op. 25 No. 10 in B Minor
Frédéric Chopin,Etude Op. 25 No. 11
Frédéric Chopin,Etude Op. 25 No. 11 in A Minor
Frédéric Chopin,Etude Op. 25 No. 12
Frédéric Chopin,Etude Op. 25 No. 12 in C Minor
Frédéric Chopin,Etude Op. 25 No. 5 in E Minor
Frédéric Chopin,Etude Op. 25 No. 6
Frédéric Chopin,Etude Op. 25 No. 6 in G-sharp Minor
Frédéric Chopin,"Etude in A Minor, Op. 25, No. 11"
Frédéric Chopin,"Etude in F Major, Op. 10, No. 8"
Frédéric Chopin,Etudes Op. 10 Nos. 8
Frédéric Chopin,Etudes Op. 10 Nos. 9
Frédéric Chopin,Etudes Op. 25 Nos. 1-5
Frédéric Chopin,"Fantasie in F Minor, Op. 49"
Frédéric Chopin,"Fantasy in F Minor, Op.49"
Frédéric Chopin,Mazurka Op. 50 No. 3 in C-sharp Minor
Frédéric Chopin,Mazurka Op. 6 No. 2 in C-sharp Minor
Frédéric Chopin,"Mazurka in C-sharp Minor, Op. 50 No. 3"
Frédéric Chopin,"Mazurka in D Major, Op. 33, No. 2"
Frédéric Chopin,"Mazurka in F Minor, Op. 7, No. 3"
Frédéric Chopin,"Mazurka in G-sharp Minor, Op. 33, No. 1"
Frédéric Chopin,"Mazurkas, Op. 17 (Complete)"
Frédéric Chopin,Nocturne Op. 15 No. 1 in F Major
Frédéric Chopin,Nocturne Op. 27 No. 1 in C-sharp Minor
Frédéric Chopin,Nocturne Op. 27 No. 2 in D-flat Major
Frédéric Chopin,Nocturne Op. 32 No. 2 in A-flat Major
Frédéric Chopin,Nocturne Op. 48 No. 1 in C Minor
Frédéric Chopin,Nocturne Op. 55 No. 2 in E-flat Major
Frédéric Chopin,Nocturne Op. 62 No. 1 in B Major
Frédéric Chopin,"Nocturne Op. 62, No. 2"
Frédéric Chopin,Nocturne Op. 9 No. 2 in E-flat Major
Frédéric Chopin,"Nocturne in B Major, Op. 9, No. 3"
Frédéric Chopin,"Nocturne in C Minor, Op. 48 No. 1"
Frédéric Chopin,"Nocturne in C-Sharp Minor, Op. Posth."
Frédéric Chopin,"Nocturne in C-sharp Minor, Op. 27 No. 1"
Frédéric Chopin,Nocturne in Db
Frédéric Chopin,"Nocturne in E-flat Major, Op. 55 No. 2"
Frédéric Chopin,"Nocturne in F-sharp Major, Op. 15, No. 2"
Frédéric Chopin,Polonaise Op. 26 in E-flat Minor
Frédéric Chopin,Polonaise Op. 44
Frédéric Chopin,Polonaise Op. 53 in A-flat Major
Frédéric Chopin,Polonaise-Fantasie
Frédéric Chopin,Polonaise-Fantasie Op. 61
Frédéric Chopin,"Preludes, Book II, L 123, VI. Général Lavine - eccentric"
Frédéric Chopin,"Preludes, Op.28"
Frédéric Chopin,"Rondo in C Minor, Op. 1"
Frédéric Chopin,"Scherzo No. 1 in B Minor, Op. 20"
Frédéric Chopin,"Scherzo No. 2 in B-Flat Minor, Op.31"
Frédéric Chopin,"Scherzo No. 2 in B-flat Major, Op. 31"
Frédéric Chopin,Scherzo No. 3
Frédéric Chopin,"Scherzo No. 3 in C-sharp Minor, Op. 39"
Frédéric Chopin,"Scherzo No. 4  in E Major, Op. 54"
Frédéric Chopin,Sonata 3 Op. 58
Frédéric Chopin,"Sonata No. 2 in B-flat Minor, Op. 35"
Frédéric Chopin,Sonata No. 3
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58"
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58 (Complete)"
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, 1st mov."
Frédéric Chopin,"Sonata No. 3 in B Minor, Op. 58, I. Allegro maestoso"
Frédéric Chopin,"Sonata in B Minor, Op. 58"
Frédéric Chopin,"Two Preludes from Op. 28, Nos. 15 and 24"
Frédéric Chopin,"Valse brillante No. 1 in A-flat Major, Op. 34"
Frédéric Chopin,"Variations and Fugue in E-flat Major, Op. 35, ""Eroica"""
George Enescu,Suite Op. 10
George Frideric Handel,Chaconne in G
George Frideric Handel,"Chaconne in G Major, HWV 435"
George Frideric Handel,"Suite No. 2 in F Major, HWV 427 (Complete)"
George Frideric Handel,Suite No. 3 in D Minor
Georges Bizet / Ferruccio Busoni,"Sonatina No. 6, BV284 “Fantasia da Camera super Carmen”"
Georges Bizet / Moritz Moszkowski,"Chanson Boheme de l'Opera ""Carmen"" by Georges Bizet"
Georges Bizet / Vladimir Horowitz,Carmen Variations
Giuseppe Verdi / Franz Liszt,Rigoletto Parap.
Henry Purcell,"Suite in C Major, Z. 666 (Complete)"
Isaac Albéniz,Asturias
Isaac Albéniz,"Evocacion from ""Iberia"""
Isaac Albéniz,Iberia Book II
Isaac Albéniz,"Iberia, Evocation, Triana"
Isaac Albéniz,Navarra
Isaac Albéniz,Triana from 'Iberia'
Isaac Albéniz / Leopold Godowsky,Tango
Jean-Philippe Rameau,RameauSelections
Johann Christian Fischer / Wolfgang Amadeus Mozart,12 Variations on a Theme from a Menuet by Fischer
Johann Pachelbel,Chaconne in F Minor
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903"
Johann Sebastian Bach,"Duet in E Minor, BWV 802"
Johann Sebastian Bach,"Duet in G, BWV 804"
Johann Sebastian Bach,"English Suite No. 2  in A Minor, BWV 807, I. Prelude"
Johann Sebastian Bach,"English Suite in A Minor, BWV 807"
Johann Sebastian Bach,"English Suite no. 3 in G Minor, Prelude"
Johann Sebastian Bach,French Suite No. 5 in G Major
Johann Sebastian Bach,"Italian Concerto in F Major, BWV 971 (Complete)"
Johann Sebastian Bach,"Italian Concerto, BWV 971"
Johann Sebastian Bach,"Italian Concerto, BWV 971 (Complete)"
Johann Sebastian Bach,"Overture in the French Style in B Minor, BWV 831"
Johann Sebastian Bach,"Partita No. 1 in B-Flat Major, BWV 825 (Complete)"
Johann Sebastian Bach,"Partita No. 2 in C Minor, I. Sinfonia"
Johann Sebastian Bach,"Partita No. 4 in D Major, BWV 828"
Johann Sebastian Bach,Partita No. 6 in E Minor
Johann Sebastian Bach,"Partita in C Minor, BWV 826"
Johann Sebastian Bach,Prelude & Fugue
Johann Sebastian Bach,"Prelude & Fugue in B flat minor, Book I, BWV 867"
Johann Sebastian Bach,"Prelude & Fugue in G Minor, WTK II"
Johann Sebastian Bach,"Prelude and Fuge in G-sharp Minor, WTC I, BWV 863"
